id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
14,2,ГЕРМАНИЯ: Северо-восточная региональная лига,Ратенов - Бишофсвердар,"{'РАТЕНОВ': 3, 'БИШОФСВЕРДАР': 4}",16.02.2019 14:30,https://www.myscore.com.ua/match/l2ErKpHG/#match-summary,,,,,
15,2,ГЕРМАНИЯ: Западная региональная лига,Верль - Kaan-Marienborn,"{'ВЕРЛЬ': 7, 'KAAN-MARIENBORN': 6}",16.02.2019 15:00,https://www.myscore.com.ua/match/dGaEDk8q/#match-summary,,,,,
16,2,ГЕРМАНИЯ: Западная региональная лига,Эссен - ТВ Херкенрат,"{'ЭССЕН': 3, 'ТВ ХЕРКЕНРАТ': 4}",16.02.2019 15:00,https://www.myscore.com.ua/match/QX8rJBpM/#match-summary,,,,,
17,2,ГЕРМАНИЯ: Западная региональная лига,Straelen - Вупперталлер,"{'STRAELEN': 4, 'ВУППЕРТАЛЛЕР': 6}",16.02.2019 15:00,https://www.myscore.com.ua/match/GdrqbA8d/#match-summary,,,,,
18,2,ГРЕЦИЯ: Суперлига,ПАС Янина - Атромитос,"{'ПАС ЯНИНА': 3, 'АТРОМИТОС': 6}",16.02.2019 19:30,https://www.myscore.com.ua/match/j3YQk34J/#match-summary,,,,,
19,2,ГРЕЦИЯ: Вторая лига,Эрготелис - Ханья Киссамикос,"{'ЭРГОТЕЛИС': 3, 'ХАНЬЯ КИССАМИКОС': 3}",16.02.2019 15:00,https://www.myscore.com.ua/match/KjlOAZO6/#match-summary,,,,,
1,2,НИДЕРЛАНДЫ: Высшая лига,Херенвен - ПСВ,"{'ХЕРЕНВЕН': 7, 'ПСВ': 7}",16.02.2019 20:45,https://www.myscore.com.ua/match/0AZSGw3J/#match-summary,,,,,
1,2,НИДЕРЛАНДЫ: Высшая лига,Витесс - Виллем II,"{'ВИТЕСС': 8, 'ВИЛЛЕМ II': 5}",16.02.2019 21:45,https://www.myscore.com.ua/match/dtLbBHQt/#match-summary,,,,,
2,2,НИДЕРЛАНДЫ: Второй дивизион,Схевенинген - Барендрехт,"{'СХЕВЕНИНГЕН': 5, 'БАРЕНДРЕХТ': 2}",16.02.2019 15:30,https://www.myscore.com.ua/match/htEKWyv7/#match-summary,,,,,
3,2,НИДЕРЛАНДЫ: Второй дивизион,Козаккен Бойс - Ринсбургс Бойс,"{'КОЗАККЕН БОЙС': 3, 'РИНСБУРГС БОЙС': 5}",16.02.2019 16:00,https://www.myscore.com.ua/match/AHOFXHO0/#match-summary,,,,,
4,2,НИДЕРЛАНДЫ: Второй дивизион,Йонг Спарта Роттердам - Эйсселмервогелс,"{'ЙОНГ СПАРТА РОТТЕРДАМ': 3, 'ЭЙССЕЛМЕРВОГЕЛС': 6}",16.02.2019 16:30,https://www.myscore.com.ua/match/WQPBYc9f/#match-summary,,,,,
5,2,ПОРТУГАЛИЯ: Сегунда,Кова-да-Пьедаде - Пенафиел,"{'КОВА-ДА-ПЬЕДАДЕ': 0, 'ПЕНАФИЕЛ': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/Yo8zWLMB/#match-summary,,,,,
1,2,СЕВЕРНАЯ ИРЛАНДИЯ: Кубок Ирландской Лиги,Баллимина - Линфилд,"{'БАЛЛИМИНА': 9, 'ЛИНФИЛД': 6}",16.02.2019 19:30,https://www.myscore.com.ua/match/fieaGRW9/#match-summary,,,,,
1,2,ШВЕЙЦАРИЯ: Первая лига,Шафхаузен - Кринс,"{'ШАФХАУЗЕН': 2, 'КРИНС': 7}",16.02.2019 18:30,https://www.myscore.com.ua/match/WjHbLW0l/#match-summary,,,,,
2,2,ШОТЛАНДИЯ: Чемпионшип,Аллоа - Партик,"{'АЛЛОА': 5, 'ПАРТИК': 6}",16.02.2019 17:00,https://www.myscore.com.ua/match/rqzGyQn0/#match-summary,,,,,
3,2,ШОТЛАНДИЯ: Первая лига,Монтроз - Форфар,"{'МОНТРОЗ': 5, 'ФОРФАР': 6}",16.02.2019 17:00,https://www.myscore.com.ua/match/nVBFq9LH/#match-summary,,,,,
4,2,ШОТЛАНДИЯ: Первая лига,Райт Роверс - Арброт,"{'РАЙТ РОВЕРС': 6, 'АРБРОТ': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/466KrTzO/#match-summary,,,,,
5,2,ШОТЛАНДИЯ: Первая лига,Странрар - Дамбартон,"{'СТРАНРАР': 3, 'ДАМБАРТОН': 3}",16.02.2019 17:00,https://www.myscore.com.ua/match/rc5OsmjU/#match-summary,,,,,
6,2,ШОТЛАНДИЯ: Первая лига,Эйрдрионианс - Брешин,"{'ЭЙРДРИОНИАНС': 5, 'БРЕШИН': 2}",16.02.2019 17:00,https://www.myscore.com.ua/match/EHD7oVj5/#match-summary,,,,,
7,2,ШОТЛАНДИЯ: Вторая лига,Кауденбит - Аннан,"{'КАУДЕНБИТ': 4, 'АННАН': 3}",16.02.2019 17:00,https://www.myscore.com.ua/match/rmO3NXM5/#match-summary,,,,,
8,2,ШОТЛАНДИЯ: Вторая лига,Клайд - А. Роверс,"{'КЛАЙД': 6, 'А. РОВЕРС': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/4dPaOD7a/#match-summary,,,,,
9,2,ШОТЛАНДИЯ: Вторая лига,Элгин Сити - Стерлинг,"{'ЭЛГИН СИТИ': 5, 'СТЕРЛИНГ': 7}",16.02.2019 17:00,https://www.myscore.com.ua/match/vFHCLBiI/#match-summary,,,,,
